Step,Value
939,-183.4886042
940,-185.8360417
941,-179.5661042
942,-178.9040208
943,-179.5841458
944,-179.32475
945,-181.3481875
946,-183.2470417
947,-185.861
948,-183.371875
949,-183.0613333
950,-180.4557292
951,-179.1608125
952,-180.1870417
953,-181.42875
954,-181.3529167
955,-179.28375
956,-177.1209583
957,-179.2822083
958,-182.3608333
959,-175.5390625
960,-177.4837708
961,-180.2117708
962,-182.5205625
963,-181.62075
964,-179.076875
965,-185.4715833
966,-184.3957083
967,-182.8225208
968,-186.1307083
969,-188.862875
970,-188.5505208
971,-186.4550625
972,-185.2966458
973,-184.603
974,-185.4132083
975,-183.7660417
976,-182.185375
977,-183.4196667
978,-179.9742917
979,-178.4738542
980,-180.9546458
981,-180.9349167
982,-181.0549583
983,-180.9881875
984,-184.2997292
985,-186.6639167
986,-182.2538333
987,-184.6191458
988,-183.8855833
989,-183.3944792
990,-184.6188542
991,-186.6123542
992,-185.7393125
993,-183.0303333
994,-181.7662917
995,-183.6848333
996,-179.9097292
997,-181.3091042
998,-177.7911875
999,-180.4965833
1000,-184.2716667
1001,-181.4379167
1002,-184.5538125
1003,-186.3210417
1004,-184.3251875
1005,-178.9923125
1006,-177.432125
1007,-185.8785208
1008,-185.2802083
1009,-188.1021042
1010,-187.7989167
1011,-185.3101667
1012,-186.210625
1013,-181.9699583
1014,-186.2526042
1015,-184.0685
1016,-179.2786667
1017,-182.2686458
1018,-180.1993542
1019,-185.6905417
1020,-183.3203125
1021,-179.1319375
1022,-184.9673542
1023,-184.511625
1024,-184.9778542
1025,-183.7444583
1026,-178.395625
1027,-180.3933125
1028,-181.4185625
1029,-183.7960625
1030,-185.2843333
1031,-184.5472083
1032,-182.7350417
1033,-186.1501458
1034,-182.9616875
1035,-183.2166875
1036,-181.868
1037,-183.3556667
1038,-185.816375
1039,-182.2069167
1040,-183.3697292
1041,-187.4203125
1042,-184.9794792
1043,-184.639875
1044,-181.8840417
1045,-180.1188958
1046,-179.131
1047,-183.3755417
1048,-179.610875
1049,-183.8675208
1050,-182.9297083
1051,-183.6392083
1052,-181.4112917
1053,-186.2368125
1054,-183.5335208
1055,-186.6050208
1056,-180.8291875
1057,-182.6488333
1058,-187.8433125
1059,-187.7450833
1060,-185.9620417
1061,-191.013625
1062,-185.0097708
1063,-185.0785833
1064,-185.2408542
1065,-186.34425
1066,-183.6736042
1067,-180.3278958
1068,-178.9435833
1069,-184.0912708
1070,-185.9712083
1071,-184.0115208
1072,-185.4364583
1073,-178.7020208
1074,-182.1929375
1075,-180.6152917
1076,-178.5935417
1077,-180.1751875
1078,-186.649375
1079,-184.2123958
1080,-184.6029792
1081,-183.3730208
1082,-186.8280417
1083,-181.3708542
1084,-180.8151042
1085,-184.6915417
1086,-180.65475
1087,-181.3517083
1088,-183.4999583
1089,-189.6831875
1090,-185.1359375
1091,-185.1340208
1092,-182.4983333
1093,-186.6093958
1094,-186.5111458
1095,-180.80575
1096,-180.9925208
1097,-181.4378333
1098,-182.7691667
1099,-184.8166667
1100,-180.5455
1101,-184.3085
1102,-186.3711458
1103,-182.1829792
1104,-182.0375417
1105,-182.0552708
1106,-177.0674792
1107,-179.820375
1108,-179.3980208
1109,-179.8769792
1110,-184.013
1111,-182.7134792
1112,-181.7024583
1113,-180.9973333
1114,-183.4122083
1115,-180.6024375
1116,-181.5688333
1117,-181.9028958
1118,-183.8291458
1119,-185.9868333
1120,-181.5836458
1121,-181.2211458
1122,-181.0641458
1123,-180.2935
1124,-183.1138125
1125,-180.9538333
1126,-185.5108542
1127,-186.5247708
1128,-180.7502708
1129,-180.1832292
1130,-187.176625
1131,-189.022875
1132,-180.7206875
1133,-181.6030625
1134,-179.5158333
1135,-181.266125
1136,-182.8771458
1137,-182.8978958
1138,-176.91125
1139,-184.3190208
1140,-179.3362083
1141,-178.7044583
1142,-178.5586458
1143,-177.3929375
1144,-183.8550833
1145,-181.7587708
1146,-177.126875
1147,-178.0845208
1148,-179.6288542
1149,-182.0787083
1150,-183.2816875
1151,-185.8506875
1152,-182.486125
1153,-179.7767292
1154,-175.6322708
1155,-179.2680833
1156,-179.5317708
1157,-178.7482708
1158,-180.7539167
1159,-182.6285833
1160,-182.7320625
1161,-181.8453333
1162,-182.3003333
1163,-177.3197083
1164,-179.5939792
1165,-183.01775
1166,-183.5849167
1167,-183.4936875
1168,-182.7597708
1169,-180.0085208
1170,-181.7893333
1171,-186.6171875
1172,-183.1564167
1173,-181.9695417
1174,-183.8542083
1175,-186.0594375
1176,-186.7506458
1177,-186.4998125
1178,-183.8309375
1179,-182.4101458
1180,-184.8982083
1181,-188.4980625
1182,-186.5788333
1183,-183.7294375
1184,-180.3374167
1185,-180.6885625
1186,-185.5368542
1187,-183.3679167
1188,-180.1373333
1189,-184.0218333
1190,-179.7050208
1191,-180.2231875
1192,-183.5837708
1193,-182.1103333
1194,-184.0587292
1195,-180.4718333
1196,-183.9018125
1197,-179.7618542
1198,-179.7033333
1199,-180.3859583
1200,-186.0004167
1201,-190.589625
1202,-192.4224167
1203,-190.326625
1204,-189.7660625
1205,-189.3175833
1206,-185.3586875
1207,-185.0541667
1208,-193.3517917
1209,-186.8405625
1210,-185.4743125
1211,-185.4062917
1212,-185.2675625
1213,-186.0753542
1214,-187.0382917
1215,-186.7450833
1216,-184.3623958
1217,-190.0007292
1218,-186.9273542
1219,-182.3898333
1220,-186.5729583
1221,-183.8934792
1222,-185.8255
1223,-185.1446667
1224,-183.7444792
1225,-183.0802917
1226,-181.9163333
1227,-177.803125
1228,-177.7338333
1229,-181.0073333
1230,-179.2653125
1231,-182.4831042
1232,-181.334625
1233,-183.1644167
1234,-186.05375
1235,-185.33475
1236,-180.4606667
1237,-180.7617917
1238,-178.8116042
1239,-177.9362083
1240,-178.8067083
1241,-184.100875
1242,-181.1529167
1243,-185.3730625
1244,-182.3067083
1245,-181.4131875
1246,-181.55775
1247,-184.9934375
1248,-183.5725417
1249,-184.684625
1250,-185.1411458
1251,-185.4759792
1252,-191.1018542
1253,-188.3529375
1254,-187.1914375
1255,-183.4451875
1256,-183.0832917
1257,-182.6613542
1258,-181.1197708
1259,-181.11375
1260,-180.2066458
1261,-183.6791042
1262,-185.8677708
1263,-186.4635208
1264,-184.5585208
1265,-183.1966042
1266,-185.8152708
1267,-177.9218958
1268,-176.1784583
1269,-180.7438333
1270,-184.0777292
1271,-180.3645833
1272,-179.9354583
1273,-180.9014375
1274,-184.2231667
1275,-182.3130625
1276,-180.9940417
1277,-177.9210208
1278,-182.9613333
1279,-184.3469792
1280,-183.821125
1281,-186.5228125
1282,-186.8408958
1283,-183.3581875
1284,-178.573625
1285,-181.2719167
1286,-180.2652708
1287,-182.6054792
1288,-182.7211458
1289,-182.8221042
1290,-180.5547917
1291,-183.0042083
1292,-175.9893333
1293,-181.3648333
1294,-179.888875
1295,-177.681625
1296,-179.089
1297,-179.3267083
1298,-179.2168542
1299,-181.7033125
1300,-183.460125
1301,-187.2767917
1302,-184.8202083
1303,-180.8240208
1304,-179.666875
1305,-183.5808125
1306,-182.3360625
1307,-187.199625
1308,-185.2584583
1309,-180.0328333
1310,-181.2072292
1311,-179.3304167
1312,-183.6216667
1313,-180.34575
1314,-183.3447292
1315,-184.3740417
1316,-186.2995
1317,-180.8263333
1318,-179.4513125
1319,-171.8844375
1320,-178.4997708
1321,-179.32675
1322,-182.5906042
1323,-181.4273125
1324,-184.1039792
1325,-185.7075833
1326,-185.2022083
1327,-184.3637708
1328,-183.9769583
1329,-184.4027083
1330,-184.4290833
1331,-187.359625
1332,-186.5104167
1333,-186.15775
1334,-190.3037917
1335,-183.6157917
1336,-187.3253333
1337,-182.931875
1338,-180.9795208
1339,-180.5155417
1340,-182.158375
1341,-182.5685417
1342,-184.0382292
1343,-186.8470208
1344,-189.209375
1345,-183.3336042
1346,-187.41575
1347,-192.0241667
1348,-189.2742917
1349,-186.8374167
1350,-182.7552708
1351,-184.6642917
1352,-186.7020833
1353,-188.2720625
1354,-186.0795208
1355,-188.0084375
1356,-184.2576875
1357,-181.8290625
1358,-185.0435833
1359,-180.0257917
1360,-176.6207917
1361,-177.2898542
1362,-175.5064792
1363,-175.6297708
1364,-183.2353333
1365,-178.1330417
1366,-179.8004583
1367,-179.8532917
1368,-185.2964792
1369,-188.258875
1370,-178.4887917
1371,-185.6790833
1372,-184.6328958
1373,-186.3144792
1374,-189.0228333
1375,-188.7813125
1376,-184.91875
1377,-181.8341667
1378,-181.3766875
1379,-180.702875
1380,-181.0922083
1381,-181.1626042
1382,-187.5552292
1383,-188.3316042
1384,-188.5011667
1385,-186.9153125
1386,-185.3865
1387,-186.3237083
1388,-185.85725
1389,-183.7375
1390,-180.952875
1391,-181.3020625
1392,-184.1221458
1393,-181.3990417
1394,-184.294125
1395,-179.856375
1396,-180.1474167
1397,-180.4233542
1398,-178.6218333
1399,-188.653
1400,-187.302625
1401,-184.210875
1402,-184.8517292
1403,-183.4305833
1404,-180.3508542
1405,-180.3044375
1406,-181.8478125
1407,-182.1835
1408,-184.6636458
1409,-182.6997708
1410,-183.6823125
1411,-182.6787708
1412,-187.9696042
1413,-184.845
1414,-181.6468333
1415,-185.1147917
1416,-183.403625
1417,-180.7073958
1418,-183.1849167
1419,-182.5168333
1420,-182.9656875
1421,-182.5765417
1422,-180.920625
1423,-182.7332292
1424,-181.0683542
1425,-183.8990417
1426,-185.6743542
1427,-182.269375
1428,-188.7188333
1429,-185.358
1430,-186.9752292
1431,-184.1702708
1432,-185.3016042
1433,-185.431625
1434,-187.9360208
1435,-188.27425
1436,-185.628
1437,-182.2673958
1438,-183.1061875
1439,-182.7685833
1440,-181.5756458
1441,-185.8887708
1442,-180.3463958
1443,-183.711375
1444,-184.5763958
1445,-187.3863333
1446,-189.6895833
1447,-182.8513958
1448,-184.8666458
1449,-183.9620833
1450,-188.5096042
1451,-185.0918958
1452,-180.0227083
1453,-183.0826875
1454,-184.5708958
1455,-183.8834583
1456,-180.6120417
1457,-184.1177708
1458,-185.9554583
1459,-183.7794167
1460,-180.7034792
1461,-181.3431042
1462,-182.5603125
1463,-185.2699375
1464,-185.5514167
1465,-182.9856667
1466,-181.29475
1467,-182.8214375
1468,-181.2105
1469,-185.9013125
1470,-187.8866667
1471,-185.675375
1472,-182.2770417
1473,-187.6413542
1474,-181.482
1475,-186.5503125
1476,-184.1871875
1477,-183.5740417
1478,-179.8948958
1479,-179.96975
1480,-181.873
1481,-183.2872917
1482,-181.0054375
1483,-186.4778542
1484,-188.4395208
1485,-188.2687917
1486,-181.7662917
1487,-185.7956042
1488,-181.5992292
1489,-182.0166458
1490,-181.7816667
1491,-181.0121875
1492,-182.542875
1493,-182.3
1494,-183.5071667
1495,-183.3177292
1496,-186.0234375
1497,-181.82775
1498,-182.8824583
1499,-189.4250417
1500,-180.34275
1501,-181.1486875
1502,-181.4006042
1503,-184.0305
1504,-179.8592917
1505,-181.303875
1506,-183.6502708
1507,-189.51725
1508,-187.0605833
1509,-188.2833333
1510,-182.4295417
1511,-183.7227292
1512,-182.8700417
1513,-182.7373958
1514,-187.9371667
1515,-182.4403125
1516,-180.9480625
1517,-182.8122917
1518,-186.034375
1519,-179.4926458
1520,-178.6429583
1521,-181.7821042
1522,-185.7279375
1523,-183.2455417
1524,-180.2674167
1525,-181.1751667
1526,-182.0116875
