Wall time,Step,Value
1740486171.606491,1460,-103.60250091552734
1740486213.3464441,1462,-104.11250305175781
1740486214.7942119,1462,-158.8262481689453
1740486231.4338768,1463,-99.25875091552734
1740486261.7273655,1465,-99.3187484741211
1740486278.4583683,1466,-99.43499755859375
1740486394.1689165,1473,-99.24500274658203
1740486463.088988,1477,-99.36000061035156
1740486463.6811051,1477,-99.24500274658203
1740486488.9252577,1478,-99.25875091552734
1740486606.176306,1485,-128.48374938964844
1740486608.5853283,1485,-99.21499633789062
1740486632.5694711,1487,-104.57250213623047
1740486667.528539,1489,-99.44125366210938
1740486681.3859277,1490,-99.53874969482422
1740486746.1773248,1494,-108.75250244140625
1740486780.4682496,1496,-109.51499938964844
1740486800.5507636,1497,-104.44499969482422
1740486828.1739602,1498,-99.79083251953125
1740486862.843954,1500,-99.21499633789062
1740486974.6894588,1507,-99.21499633789062
1740486986.2828753,1508,-99.34750366210938
1740487067.5396538,1513,-104.30999755859375
1740487101.6184227,1515,-99.3550033569336
1740487182.3274539,1519,-103.97250366210938
1740487196.2998986,1520,-103.94625091552734
1740487212.4536002,1521,-99.21499633789062
1740487492.4111779,1537,-103.96499633789062
1740487536.911311,1539,-99.21499633789062
1740487806.8755689,1554,-99.72000122070312
1740487841.1557024,1556,-103.99500274658203
1740488073.0713437,1569,-99.26374816894531
1740488094.0723796,1570,-99.21499633789062
1740488176.4742138,1575,-103.55999755859375
1740488235.1833565,1578,-99.24500274658203
1740488240.2767673,1578,-103.49874877929688
1740488250.4541728,1579,-99.26374816894531
1740488291.2937224,1581,-128.90499877929688
1740488297.5199592,1581,-99.91625213623047
1740488351.1830173,1584,-108.33875274658203
1740488365.0878994,1585,-99.19750213623047
1740488511.0326202,1593,-99.375
1740488536.546897,1594,-99.19750213623047
1740488574.6309416,1596,-99.8375015258789
1740488749.018201,1606,-99.08999633789062
1740488830.0110428,1610,-99.05999755859375
1740488844.1347663,1611,-99.375
1740488904.319031,1614,-103.9487533569336
1740488951.2737405,1617,-99.05999755859375
1740488992.630451,1619,-128.22874450683594
1740489045.722869,1622,-99.1449966430664
1740489163.2330956,1628,-99.19750213623047
1740489173.5780866,1629,-128.30499267578125
1740489265.9405217,1634,-112.66999816894531
1740489272.40325,1634,-103.95500183105469
1740489291.5895898,1635,-99.1675033569336
1740489398.2437398,1641,-103.47250366210938
1740489421.891474,1642,-99.05999755859375
1740489428.845566,1643,-99.05999755859375
1740489508.3395169,1647,-103.68499755859375
1740489576.493929,1651,-107.97000122070312
1740489598.388512,1652,-142.91375732421875
1740489603.1455488,1652,-99.44000244140625
1740489632.512266,1654,-99.27749633789062
1740489750.6749215,1660,-99.34500122070312
1740489838.5830514,1665,-103.94000244140625
1740489928.6827054,1670,-99.55374908447266
1740489933.5112016,1670,-98.95124816894531
1740489946.8214006,1671,-99.23750305175781
1740489963.9200754,1672,-103.87249755859375
1740489980.9166095,1673,-99.05999755859375
1740490044.2904532,1676,-99.1675033569336
1740490055.5590675,1676,-99.5625
1740490087.46209,1677,-99.1675033569336
1740490139.0319152,1679,-99.1675033569336
1740490279.9309847,1684,-99.1675033569336
1740490306.770997,1685,-103.68374633789062
1740490322.1401987,1686,-99.1675033569336
1740490383.6285458,1688,-103.28250122070312
1740490458.3394654,1691,-99.1675033569336
1740490461.1954968,1691,-99.23750305175781
1740490511.5130174,1693,-99.05999755859375
1740490760.8671904,1702,-99.05999755859375
1740490761.773075,1702,-99.17749786376953
1740490790.0854042,1703,-103.68499755859375
1740490868.3134785,1706,-104.19125366210938
1740490985.5680504,1710,-99.05999755859375
1740490986.4641063,1710,-109.50875091552734
1740491039.9242213,1712,-99.31375122070312
1740491090.7676027,1714,-103.89624786376953
1740491099.187395,1714,-104.00749969482422
1740491341.4063363,1723,-103.78624725341797
1740491465.7411654,1727,-103.67874908447266
1740491752.0092359,1738,-99.05999755859375
1740491794.9181092,1739,-99.28500366210938
1740491879.959519,1742,-99.05999755859375
1740491987.7239482,1746,-104.50499725341797
1740492097.8340416,1750,-99.34124755859375
1740492126.9313295,1751,-99.19750213623047
1740492143.64414,1752,-107.97000122070312
1740492156.3124914,1752,-99.1675033569336
1740492158.1778665,1752,-99.34500122070312
1740492343.026662,1758,-99.05999755859375
1740492345.0042422,1758,-104.07624816894531
1740492476.8049326,1762,-103.40374755859375
1740492480.0523162,1762,-99.1675033569336
1740492776.4808006,1772,-104.39875030517578
1740492783.9275577,1772,-99.08999633789062
1740492899.812004,1776,-157.25125122070312
1740492905.2078161,1776,-128.32749938964844
1740493077.084934,1781,-108.3324966430664
1740493107.5661662,1782,-128.60125732421875
1740493211.8683395,1785,-99.05999755859375
1740493243.7357628,1786,-99.42874908447266
1740493425.6413996,1792,-103.79125213623047
1740493532.186362,1795,-99.29624938964844
1740493558.345552,1796,-99.5062484741211
1740493586.0408006,1797,-99.30374908447266
1740493599.848786,1797,-99.17749786376953
1740493662.7561276,1799,-109.2933349609375
1740493701.9261296,1800,-99.08999633789062
1740494089.799821,1812,-99.21875
1740494188.9562073,1815,-99.4175033569336
1740494230.8175268,1816,-103.27124786376953
1740494266.9801185,1817,-99.08999633789062
1740494424.9100485,1822,-99.05999755859375
1740494486.636786,1824,-99.08999633789062
1740494490.7472403,1824,-99.08999633789062
1740494500.2873688,1824,-99.08999633789062
1740494558.2145765,1826,-103.83999633789062
1740494651.1246612,1829,-99.05999755859375
1740494891.131551,1836,-103.84124755859375
1740495071.5622416,1841,-128.6999969482422
1740495130.732886,1843,-99.125
1740495318.107317,1849,-128.58375549316406
1740495544.214737,1855,-103.78250122070312
1740495600.3758678,1857,-103.68374633789062
1740496061.990397,1871,-99.17749786376953
1740496134.1840925,1873,-99.08999633789062
1740496248.1002743,1876,-99.05999755859375
1740496769.2830615,1892,-99.05999755859375
1740496854.9810894,1895,-99.08999633789062
1740496879.9306834,1896,-99.05999755859375
1740497033.9968984,1901,-103.84750366210938
1740497133.3592489,1904,-103.8324966430664
1740497160.7325711,1905,-99.05999755859375
1740497182.5105822,1906,-103.87249755859375
1740497232.5883772,1907,-99.05999755859375
1740497363.76045,1911,-128.5137481689453
1740497462.221197,1914,-103.43499755859375
1740497463.2507508,1914,-128.86874389648438
1740497560.471159,1917,-99.08999633789062
1740497591.8358252,1918,-99.05999755859375
1740497663.5148318,1920,-132.94874572753906
1740497795.107811,1924,-99.05999755859375
1740498025.0169446,1931,-99.13749694824219
1740498062.566247,1932,-99.35250091552734
1740498063.994061,1932,-104.6675033569336
1740498289.2546008,1939,-99.0562515258789
